edades_train,pred_train
24.0,22.279703
44.0,40.105904
64.37,58.404926
18.15,32.693733
21.0,18.56441
75.0,81.58923
83.33,77.61953
80.0,75.19727
42.0,50.550674
77.0,77.44522
38.0,43.237648
32.57,45.130783
29.28,26.407831
71.04,73.004684
71.0,57.12299
68.0,68.544235
79.85,68.96729
33.0,26.43268
53.0,52.15727
19.0,21.97842
21.0,26.348469
21.4,23.761946
70.0,61.086575
73.0,79.11139
71.0,59.24583
26.0,37.28292
29.34,26.040888
50.6,54.675587
45.0,41.3558
23.0,21.484655
58.0,47.534233
26.36,41.798763
22.0,20.363945
38.0,30.838825
24.0,22.124058
18.0,19.32293
45.8,53.174343
65.0,56.36954
53.74,59.424717
26.0,21.71534
21.0,26.45457
28.0,18.414194
22.0,23.409113
62.0,52.897495
21.0,18.201984
20.0,24.474142
79.0,72.78768
35.0,54.124966
56.43805612594114,56.013077
73.36,72.518524
60.41067761806981,68.70967
62.0,50.92495
24.66,36.96858
23.0,25.784336
22.2,19.789555
83.0,81.09059
22.0,23.645267
34.0,42.983162
61.0,66.25116
20.0,19.062532
20.0,24.969807
41.22929500342232,42.799835
46.0,52.398136
69.27583846680356,66.69006
37.0,55.020355
80.0,80.169876
55.0,62.016106
19.0,21.371578
35.44695414099932,20.462914
26.0,23.519836
30.7,22.748219
60.0,56.035904
24.0,19.05291
67.0,55.71842
20.0,18.200583
61.0,53.52072
36.25,24.247118
51.0,47.826984
20.0,19.34106
61.48665297741273,63.27969
55.26,54.05284
58.0,55.50042
22.0,18.943068
27.0,42.978943
20.0,21.23846
40.0,47.553688
30.18206707734429,37.16563
47.3,40.00956
69.0,76.98172
30.0,38.80919
19.0,18.570402
71.0,73.296
62.0,64.51866
21.0,18.48795
76.0,79.27945
30.78,18.93716
52.0,39.650566
21.0,19.177692
20.0,18.472479
32.0,40.031326
39.0,39.80773
39.0,64.69322
21.0,22.05813
32.42436687200548,24.405579
49.68,45.051613
59.73,66.18983
20.0,19.635695
56.0,49.616356
26.05,34.347366
35.33,28.913277
47.0,58.339157
25.0,27.24656
20.0,18.977406
20.0,21.805035
38.0,46.527016
67.47,52.925423
22.0,19.949764
19.6,22.808228
37.0,38.520252
80.0,82.289856
18.0,22.473537
79.0,76.801254
62.0,42.104553
26.0,28.632116
26.0,27.074509
81.28,82.63445
63.0,59.465008
26.0,19.864183
68.0,62.76499
20.0,26.946991
47.61,48.992283
43.0,44.6336
25.52,23.371832
